"title","description","start_time","end_time"
"Janet Jackson ","Mindless Behavior.","2011-03-07T19:30:00+00:00",
"Bright Eyes ","The Mynabirds.","2011-03-15T19:30:00+00:00",
"Flogging Molly ","Moneybrother, The Drowning Men.","2011-03-11T18:30:00+00:00",
"Flogging Molly ","Moneybrother, The Drowning Men.","2011-03-12T18:30:00+00:00",
"Music Friendly Dancing ","Free monthly show featuring past Empty Bottle favorite acts. ","2011-03-07T18:30:00+00:00",
"Bon Jovi ",,"2011-03-08T19:30:00+00:00",
"Bon Jovi ",,"2011-03-09T19:30:00+00:00",
"Chicago Symphony Orchestra ","Helmuth Rilling conducts. Annette Dasch, soprano; James Taylor, tenor; Markus Eiche, baritone; Chicago Symphony Chorus; work by Mendelssohn.","2011-03-11T20:00:00+00:00",
"Chicago Symphony Orchestra ","Charles Dutoit conducts. John Sharp, cello; Kenneth Olsen, cello; Katinka Kleijn, cello; works by Berlioz, Penderecki, Elgar.","2011-03-17T20:00:00+00:00",
"Chicago Symphony Orchestra ","Charles Dutoit conducts. John Sharp, cello; Kenneth Olsen, cello; Katinka Kleijn, cello; works by Berlioz, Penderecki, Elgar.","2011-03-19T20:00:00+00:00",
"Chicago Symphony Orchestra ","Charles Dutoit conducts. Gerard McBurney, narrator; work by Elgar.","2011-03-18T13:30:00+00:00",
"Chicago Symphony Orchestra ","Charles Dutoit conducts. Gerard McBurney, narrator; work by Elgar.","2011-03-20T15:00:00+00:00",
"Carmen ","Opera by Bizet. With Nadia Krasteva, Brandon Jovanovich, Nicole Cabell and Kyle Ketelsen. Alain Altinoglu conducts.","2011-03-12T19:30:00+00:00",
"Carmen ","Opera by Bizet. With Nadia Krasteva, Brandon Jovanovich, Nicole Cabell and Kyle Ketelsen. Alain Altinoglu conducts.","2011-03-15T19:30:00+00:00",
"Lohengrin ","Opera by Wagner. With Johan Botha, Emily Magee, Michaela Schuster and Greer Grimsley. Sir Andrew Davis conducts.","2011-03-08T18:00:00+00:00",
"Hercules ","Opera by Handel. With Eric Owens, Alice Coote and David Daniels. Harry Bicket conducts.","2011-03-07T19:30:00+00:00",
"Hercules ","Opera by Handel. With Eric Owens, Alice Coote and David Daniels. Harry Bicket conducts.","2011-03-10T14:00:00+00:00",
"Evanston Symphony Orchestra ","Lawrence Eckerling conducts. North Shore Choral Society; work by Beethoven.","2011-03-13T14:30:00+00:00",
"Andrew Guo, piano ","Works TBA.","2011-03-11T20:00:00+00:00",
"Andrew Guo, piano ","Works TBA.","2011-03-13T15:00:00+00:00",
